,islemci,ekran_karti,ram,depolama,fiyat,satici,url
11,Intel Core I5 12400F,NVIDIA RTX 3070,16 GB,500 GB,22499,gaming.gen.tr,https://www.gaming.gen.tr/urun/203589/mesut-cevik-mc5-intel-i5-12400f-asus-dual-geforce-rtx-3070-v2-oc-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
12,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,500 GB,15098,gaming.gen.tr,https://www.gaming.gen.tr/urun/202403/eastergamers-tv-e8-intel-i3-12100f-asus-geforce-dual-rtx-3060-v2-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
13,Intel Core I5 12400F,AMD RX 6700-XT,16 GB,500 GB,16999,gaming.gen.tr,https://www.gaming.gen.tr/urun/202249/rraenee-6700xt-intel-i5-12400f-asus-radeon-rx-6700-xt-dual-12gb-oc-gddr6-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
14,AMD Ryzen 5 5500,AMD RX 6600,16 GB,500 GB,12399,gaming.gen.tr,https://www.gaming.gen.tr/urun/201911/dost-kayaoglu-dk4-amd-amd-ryzen-5-5500-asus-radeon-dual-rx-6600-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
15,Intel Core I3 12100F,AMD RX 6600,16 GB,500 GB,11999,gaming.gen.tr,https://www.gaming.gen.tr/urun/201508/dost-kayaoglu-dk4-intel-intel-i3-12100f-asus-radeon-dual-rx-6600-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
16,Intel Core I5 12400F,NVIDIA RTX 3060 TI,16 GB,500 GB,20999,gaming.gen.tr,https://www.gaming.gen.tr/urun/200889/blade-12400f-intel-i5-12400f-asus-geforce-rtx-3060-ti-dual-v2-oc-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
17,Intel Core I5 12400F,NVIDIA RTX 3060 TI,16 GB,500 GB,19999,gaming.gen.tr,https://www.gaming.gen.tr/urun/200880/anna-gardas-intel-i5-12400f-asus-geforce-rtx-3060-ti-dual-v2-oc-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
18,Intel Core I3 12100F,NVIDIA RTX 3060 TI,16 GB,500 GB,17699,gaming.gen.tr,https://www.gaming.gen.tr/urun/200864/holmes-itachi-intel-i3-12100f-asus-geforce-rtx-3060-ti-dual-v2-oc-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
19,AMD Ryzen 5 5500,AMD RX 6600,16 GB,500 GB,12499,gaming.gen.tr,https://www.gaming.gen.tr/urun/195650/haqqus-amd-amd-ryzen-5-5500-msi-radeon-rx-6600-mech-2x-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
20,Intel Core I3 12100F,AMD RX 6600,16 GB,500 GB,12498,gaming.gen.tr,https://www.gaming.gen.tr/urun/195643/haqqus-intel-intel-i3-12100f-msi-radeon-rx-6600-mech-2x-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
21,INTEL i5-12500,NVIDIA RTX 3070,16 GB,500 GB,23999,gaming.gen.tr,https://www.gaming.gen.tr/urun/193041/studio-rtx3070-intel-i5-12500-asus-dual-geforce-rtx-3070-v2-oc-8gb-16gb-ram-512gb-m-2-ssd-gaming-bilgisayar/
22,Intel Core I5 12400F,NVIDIA RTX 3060,16 GB,500 GB,19999,gaming.gen.tr,https://www.gaming.gen.tr/urun/193002/studio-rtx3060-intel-i5-12400f-asus-geforce-dual-rtx-3060-v2-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
23,Intel Core I3 12100F,AMD RX 6700-XT,16 GB,500 GB,14599,gaming.gen.tr,https://www.gaming.gen.tr/urun/176464/mantis-12400f-intel-i5-12400f-asus-dual-geforce-rtx-3070-si-8gb-16gb-ram-512gb-m-2-ssd-gaming-bilgisayar/
24,Intel Core I3 10105F,NVIDIA RTX 3050,16 GB,500 GB,16821,gaming.gen.tr,https://www.gaming.gen.tr/urun/167755/cyber-3050-intel-i3-10105f-asus-dual-geforce-rtx-3050-oc-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
25,Intel Core I5 12400F,NVIDIA RTX 3060,16 GB,500 GB,16799,gaming.gen.tr,https://www.gaming.gen.tr/urun/167625/nova-3060-intel-i5-12400f-asus-geforce-dual-rtx-3060-v2-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
26,Intel Core I3 10105F,NVIDIA GTX 1660 TI,16 GB,500 GB,14399,gaming.gen.tr,https://www.gaming.gen.tr/urun/166564/tezcan-racing-intel-i3-10105f-asus-tuf-geforce-gtx-1660-ti-evo-6gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
27,Intel Core I3 12100F,NVIDIA RTX 3050,16 GB,500 GB,14599,gaming.gen.tr,https://www.gaming.gen.tr/urun/160317/nova-3050-intel-i3-12100f-asus-dual-geforce-rtx-3050-oc-8gb-gddr6-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
28,AMD Ryzen 5 4500,NVIDIA RTX 3050,16 GB,500 GB,14499,gaming.gen.tr,https://www.gaming.gen.tr/urun/160312/ultima-3050-amd-ryzen-5-4500-asus-dual-geforce-rtx-3050-oc-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
29,Intel Core I3 10105F,NVIDIA GTX 1660,16 GB,500 GB,12469,gaming.gen.tr,https://www.gaming.gen.tr/urun/158906/nova-1660-intel-i5-10400f-asus-phoenix-geforce-gtx-1660-oc-6gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
30,AMD Ryzen 5 5500,AMD RX 6600,16 GB,500 GB,11999,gaming.gen.tr,https://www.gaming.gen.tr/urun/145453/blade-6600-amd-ryzen-5-5500-asus-radeon-dual-rx-6600-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
31,Intel Core I3 12100F,NVIDIA GTX 1660,16 GB,500 GB,12799,gaming.gen.tr,https://www.gaming.gen.tr/urun/131904/cyber-1660s-amd-ryzen-3-4100-asus-dual-geforce-gtx-1660-super-oc-evo-6gb-16gb-ram-512gb-m-2-ssd-gaming-bilgisayar/
32,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,500 GB,13999,gaming.gen.tr,https://www.gaming.gen.tr/urun/107991/ultima-5500-amd-ryzen-5-5500-asus-geforce-dual-rtx-3060-v2-oc-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
33,AMD Ryzen 5 5500,NVIDIA RTX 3060 TI,16 GB,500 GB,16299,gaming.gen.tr,https://www.gaming.gen.tr/urun/95747/ultima-3060ti-amd-ryzen-5-5500-asus-geforce-rtx-3060-ti-dual-v2-oc-8gb-16gb-ram-512gb-m-2-ssd-gaming-bilgisayar/
34,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,500 GB,14899,gaming.gen.tr,https://www.gaming.gen.tr/urun/68948/ultima-12100f-intel-i3-12100f-asus-geforce-dual-rtx-3060-v2-oc-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
35,Intel Core I5 12400F,AMD RX 6700-XT,16 GB,500 GB,19999,gaming.gen.tr,https://www.gaming.gen.tr/urun/64956/nova-6700xt-intel-i5-12400f-asus-radeon-rx-6700-xt-dual-12gb-oc-gddr6-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
36,AMD Ryzen 5 5600X,NVIDIA RTX 3060,16 GB,500 GB,15999,gaming.gen.tr,https://www.gaming.gen.tr/urun/49945/ultima-3060-amd-ryzen-5-5600x-asus-geforce-dual-rtx-3060-v2-oc-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
37,AMD Ryzen 5 3600,NVIDIA GTX 1660 TI,16 GB,500 GB,15799,gaming.gen.tr,https://www.gaming.gen.tr/urun/47836/cyber-3600-amd-ryzen-5-3600-asus-tuf-geforce-gtx-1660-ti-evo-6gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
38,AMD Ryzen 5 5600X,NVIDIA RTX 3070,16 GB,500 GB,22399,gaming.gen.tr,https://www.gaming.gen.tr/urun/27521/ultima-3070-amd-ryzen-5-5600-asus-dual-geforce-rtx-3070-v2-oc-8gb-16gb-ram-500-gb-m-2-ssd-gaming-bilgisayar/
39,Intel Core I3 12100F,NVIDIA GTX 1660 TI,16 GB,500 GB,15199,gaming.gen.tr,https://www.gaming.gen.tr/urun/26558/mantis-1660ti-intel-i3-12100f-asus-tuf-gaming-geforce-gtx-1660-ti-evo-oc-6gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
40,Intel Core I3 12100F,NVIDIA GTX 1660,16 GB,500 GB,13369,gaming.gen.tr,https://www.gaming.gen.tr/urun/6244/cyber-1660-intel-core-i3-10105f-asus-phoenix-geforce-gtx-1660-oc-6gb-16-gb-ram-500gb-ssd-gaming-bilgisayar/
41,Intel Core I3 10105F,NVIDIA GTX 1660,16 GB,500 GB,11499,gaming.gen.tr,https://www.gaming.gen.tr/urun/5985/nova-1660s-intel-i3-10105f-asus-tuf-geforce-gtx-1660-super-6gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
42,AMD Ryzen 5 5600,NVIDIA RTX 3060,16 GB,500 GB,16999,itopya.com,https://itopya.com/teknohayat-1_h20922
43,Intel Core I3 12100F,NVIDIA RTX 2060,16 GB,480 GB,17625,itopya.com,https://itopya.com/hugola-orchestra_h20463
44,Intel Core I3 10105F,NVIDIA GTX 1650,16 GB,480 GB,12218,itopya.com,https://itopya.com/hugola-symphony_h20462
45,Intel Core I3 12100F,NVIDIA RTX 3050,16 GB,480 GB,15348,itopya.com,https://itopya.com/tunca-star_h20460
46,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,500 GB,17347,itopya.com,https://itopya.com/jrokez-high_h20399
47,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,500 GB,15943,itopya.com,https://itopya.com/edamilka-milka_h20386
48,AMD Ryzen 5 5500,NVIDIA RTX 3050,16 GB,500 GB,14593,itopya.com,https://itopya.com/kronos-air_h20373
49,Intel Core I3 12100F,NVIDIA RTX 3050,16 GB,500 GB,14791,itopya.com,https://itopya.com/alpha-plus_h20312
50,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,500 GB,17900,itopya.com,https://itopya.com/omega-plus_h20311
51,Intel Core I5 12400F,NVIDIA RTX 3060 TI,16 GB,500 GB,22961,itopya.com,https://itopya.com/alpha-time_h20153
52,AMD Ryzen 5 7600X,NVIDIA RTX 4080,32 GB,1 TB,69715,itopya.com,https://itopya.com/nvidia-studio-3_h20079
